run_id,task_id,condition,solver_model,author_model,optimizer_model,skill_token_count,success,score,trajectory_steps,wall_time_seconds,error_category,replication_round
20260327_002202,db-wal-recovery,baseline,deepseek/deepseek-chat,,,,False,0.0,78,561.072257,skill_failure,1
20260328_144244,db-wal-recovery,baseline,deepseek/deepseek-chat,,,,False,0.0,57,612.514665,skill_failure,2
20260327_004030,db-wal-recovery,curated,deepseek/deepseek-chat,human,,3004,False,0.0,58,491.569864,skill_failure,1
20260328_185001,db-wal-recovery,curated,deepseek/deepseek-chat,human,,3004,False,0.0,37,418.630569,skill_failure,2
20260327_003247,db-wal-recovery,generic_scaffold,deepseek/deepseek-chat,,,2805,False,0.0,60,380.725459,skill_failure,1
20260328_145358,db-wal-recovery,generic_scaffold,deepseek/deepseek-chat,,,2805,False,0.0,45,337.486812,skill_failure,2
20260327_004951,db-wal-recovery,self_generated_one_shot,deepseek/deepseek-chat,claude-opus-4-20250514,,1576,False,0.0,99,1190.805432,skill_failure,1
20260328_185823,db-wal-recovery,self_generated_one_shot,deepseek/deepseek-chat,claude-opus-4-20250514,,1576,False,0.0,53,302.481808,skill_failure,2
20260327_002205,feal-differential-cryptanalysis,baseline,deepseek/deepseek-chat,,,,False,0.0,36,1123.853752,skill_failure,1
20260328_190423,feal-differential-cryptanalysis,baseline,deepseek/deepseek-chat,,,,False,0.0,43,846.488363,skill_failure,2
20260327_014444,feal-differential-cryptanalysis,curated,deepseek/deepseek-chat,human,,3632,False,0.0,44,3232.638373,agent_system_failure,1
20260329_061950,feal-differential-cryptanalysis,curated,deepseek/deepseek-chat,human,,3632,True,1.0,21,2720.420402,agent_system_failure,2
20260327_004404,feal-differential-cryptanalysis,generic_scaffold,deepseek/deepseek-chat,,,2805,True,1.0,48,1556.195873,,1
20260329_060511,feal-differential-cryptanalysis,generic_scaffold,deepseek/deepseek-chat,,,2805,True,1.0,36,790.861809,,2
20260327_080255,feal-differential-cryptanalysis,self_generated_one_shot,deepseek/deepseek-chat,claude-opus-4-20250514,,1712,True,1.0,48,1614.630465,,1
20260328_140346,overfull-hbox,baseline,deepseek/deepseek-chat,,,,True,1.0,84,534.220328,,2
20260326_235202,overfull-hbox,curated,deepseek/deepseek-chat,human,,3101,False,0.0,28,155.916339,skill_failure,1
20260328_142244,overfull-hbox,curated,deepseek/deepseek-chat,human,,3101,False,0.0,33,251.550408,skill_failure,2
20260326_234451,overfull-hbox,generic_scaffold,deepseek/deepseek-chat,,,2805,False,0.0,64,295.51054,skill_failure,1
20260328_141441,overfull-hbox,generic_scaffold,deepseek/deepseek-chat,,,2805,False,0.0,65,371.500757,skill_failure,2
20260326_235641,overfull-hbox,self_generated_one_shot,deepseek/deepseek-chat,claude-opus-4-20250514,,1179,True,1.0,73,485.09938,,1
20260328_142842,overfull-hbox,self_generated_one_shot,deepseek/deepseek-chat,claude-opus-4-20250514,,1179,False,0.0,109,747.903401,agent_system_failure,2
20260326_233714,overfull-hbox,baseline,deepseek/deepseek-chat,,,,False,0.0,47,267.110303,skill_failure,1
